rep	fold	n	n_pos	n_neg	stratum
NEG_AMPLIFY_teNEGATIVE0069	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0073	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0076	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0077	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0078	train	3	0	3	neg_only
NEG_AMPLIFY_teNEGATIVE0079	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0080	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0081	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0083	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0084	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0085	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0086	train	3	0	3	neg_only
NEG_AMPLIFY_teNEGATIVE0087	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0088	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0091	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0093	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0095	train	4	0	4	neg_only
NEG_AMPLIFY_teNEGATIVE0096	test	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0097	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0098	val	8	0	8	neg_only
NEG_AMPLIFY_teNEGATIVE0100	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0101	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0105	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0106	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0107	train	10	0	10	neg_only
NEG_AMPLIFY_teNEGATIVE0108	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0111	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0112	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0113	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0114	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0116	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0118	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0121	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0124	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0126	train	5	0	5	neg_only
NEG_AMPLIFY_teNEGATIVE0128	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0130	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0131	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0132	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0133	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0134	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0137	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0139	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0141	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0142	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0143	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0146	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0147	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0149	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0150	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0151	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0153	train	5	0	5	neg_only
NEG_AMPLIFY_teNEGATIVE0154	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0155	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0156	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0157	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0158	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0160	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0162	train	7	0	7	neg_only
NEG_AMPLIFY_teNEGATIVE0165	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0167	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0168	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0170	train	4	0	4	neg_only
NEG_AMPLIFY_teNEGATIVE0175	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0176	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0177	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0178	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0180	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0183	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0184	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0185	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0187	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0188	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0189	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0190	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0191	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0193	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0195	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0196	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0197	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0199	val	19	0	19	neg_only
NEG_AMPLIFY_teNEGATIVE0200	train	51	0	51	neg_only
NEG_AMPLIFY_teNEGATIVE0201	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0204	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0205	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0208	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0210	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0211	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0215	val	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0216	train	6	0	6	neg_only
NEG_AMPLIFY_teNEGATIVE0217	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0219	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0220	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0221	test	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0222	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0226	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0230	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0233	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0234	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0235	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0236	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0237	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0239	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0240	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0241	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0242	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0243	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0244	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0245	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0248	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0251	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0252	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0255	test	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0256	train	8	0	8	neg_only
NEG_AMPLIFY_teNEGATIVE0258	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0260	val	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0261	val	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0262	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0264	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0265	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0268	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0269	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0271	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0272	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0274	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0275	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0276	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0277	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0280	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0281	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0285	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0286	val	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0289	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0290	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0292	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0293	train	4	0	4	neg_only
NEG_AMPLIFY_teNEGATIVE0296	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0297	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0298	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0300	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0303	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0304	train	10	0	10	neg_only
NEG_AMPLIFY_teNEGATIVE0306	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0308	test	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0309	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0310	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0311	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0312	train	6	0	6	neg_only
NEG_AMPLIFY_teNEGATIVE0313	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0316	test	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0318	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0322	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0324	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0326	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0327	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0328	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0329	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0330	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0331	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0332	test	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0333	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0334	train	3	0	3	neg_only
NEG_AMPLIFY_teNEGATIVE0336	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0340	test	4	0	4	neg_only
NEG_AMPLIFY_teNEGATIVE0342	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0346	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0347	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0348	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0349	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0350	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0351	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0352	train	9	0	9	neg_only
NEG_AMPLIFY_teNEGATIVE0358	val	5	0	5	neg_only
NEG_AMPLIFY_teNEGATIVE0359	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0361	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0362	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0366	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0368	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0371	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0373	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0375	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0376	train	5	0	5	neg_only
NEG_AMPLIFY_teNEGATIVE0377	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0380	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0381	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0383	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0384	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0385	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0386	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0387	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0389	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0393	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0400	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0402	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0405	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0406	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0407	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0410	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0411	test	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0414	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0415	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0419	test	29	0	29	neg_only
NEG_AMPLIFY_teNEGATIVE0420	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0422	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0423	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0424	train	3	0	3	neg_only
NEG_AMPLIFY_teNEGATIVE0427	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0428	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0429	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0431	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0432	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0433	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0434	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0436	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0444	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0446	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0449	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0451	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0454	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0455	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0456	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0460	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0463	test	5	0	5	neg_only
NEG_AMPLIFY_teNEGATIVE0464	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0465	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0469	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0470	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0471	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0473	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0474	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0475	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0476	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0477	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0478	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0480	train	10	0	10	neg_only
NEG_AMPLIFY_teNEGATIVE0481	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0482	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0484	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0488	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0490	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0492	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0494	val	7	0	7	neg_only
NEG_AMPLIFY_teNEGATIVE0496	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0499	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0502	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0504	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0505	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0507	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0508	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0512	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0515	val	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0517	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0518	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0520	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0522	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0523	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0524	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0526	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0527	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0528	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0530	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0534	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0537	val	5	0	5	neg_only
NEG_AMPLIFY_teNEGATIVE0539	train	4	0	4	neg_only
NEG_AMPLIFY_teNEGATIVE0540	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0541	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0545	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0546	train	4	0	4	neg_only
NEG_AMPLIFY_teNEGATIVE0547	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0550	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0553	train	3	0	3	neg_only
NEG_AMPLIFY_teNEGATIVE0557	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0558	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0560	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0561	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0562	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0565	train	3	0	3	neg_only
NEG_AMPLIFY_teNEGATIVE0566	train	10	0	10	neg_only
NEG_AMPLIFY_teNEGATIVE0567	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0568	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0569	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0572	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0573	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0574	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0575	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0576	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0579	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0581	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0582	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0584	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0587	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0588	val	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0589	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0591	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0593	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0594	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0596	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0598	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0599	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0600	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0602	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0603	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0606	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0607	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0608	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0609	val	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0612	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0613	val	49	0	49	neg_only
NEG_AMPLIFY_teNEGATIVE0614	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0619	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0621	train	4	0	4	neg_only
NEG_AMPLIFY_teNEGATIVE0622	test	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0623	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0624	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0625	train	10	0	10	neg_only
NEG_AMPLIFY_teNEGATIVE0626	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0627	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0628	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0629	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0632	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0634	train	23	0	23	neg_only
NEG_AMPLIFY_teNEGATIVE0635	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0636	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0639	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0640	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0645	train	62	0	62	neg_only
NEG_AMPLIFY_teNEGATIVE0646	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0650	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0651	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0654	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0655	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0657	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0660	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0663	train	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0664	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0665	val	5	0	5	neg_only
NEG_AMPLIFY_teNEGATIVE0668	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0672	train	8	0	8	neg_only
NEG_AMPLIFY_teNEGATIVE0673	train	27	0	27	neg_only
NEG_AMPLIFY_teNEGATIVE0675	test	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0676	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0679	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0680	test	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0681	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0683	test	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0686	val	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0687	val	2	0	2	neg_only
NEG_AMPLIFY_teNEGATIVE0689	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0690	train	1	0	1	neg_only
NEG_AMPLIFY_teNEGATIVE0691	train	1	0	1	neg_only
