id	label	source	length	original_header
NEG_AMPLIFY_teNEGATIVE0025	0	AMPLIFY	31	teNEGATIVE0025
NEG_AMPLIFY_teNEGATIVE0026	0	AMPLIFY	11	teNEGATIVE0026
NEG_AMPLIFY_teNEGATIVE0027	0	AMPLIFY	77	teNEGATIVE0027
NEG_AMPLIFY_teNEGATIVE0028	0	AMPLIFY	40	teNEGATIVE0028
NEG_AMPLIFY_teNEGATIVE0029	0	AMPLIFY	25	teNEGATIVE0029
NEG_AMPLIFY_teNEGATIVE0030	0	AMPLIFY	16	teNEGATIVE0030
NEG_AMPLIFY_teNEGATIVE0031	0	AMPLIFY	35	teNEGATIVE0031
NEG_AMPLIFY_teNEGATIVE0032	0	AMPLIFY	18	teNEGATIVE0032
NEG_AMPLIFY_teNEGATIVE0033	0	AMPLIFY	29	teNEGATIVE0033
NEG_AMPLIFY_teNEGATIVE0034	0	AMPLIFY	33	teNEGATIVE0034
NEG_AMPLIFY_teNEGATIVE0035	0	AMPLIFY	17	teNEGATIVE0035
NEG_AMPLIFY_teNEGATIVE0036	0	AMPLIFY	93	teNEGATIVE0036
NEG_AMPLIFY_teNEGATIVE0037	0	AMPLIFY	29	teNEGATIVE0037
NEG_AMPLIFY_teNEGATIVE0038	0	AMPLIFY	30	teNEGATIVE0038
NEG_AMPLIFY_teNEGATIVE0039	0	AMPLIFY	10	teNEGATIVE0039
NEG_AMPLIFY_teNEGATIVE0040	0	AMPLIFY	75	teNEGATIVE0040
NEG_AMPLIFY_teNEGATIVE0041	0	AMPLIFY	12	teNEGATIVE0041
NEG_AMPLIFY_teNEGATIVE0043	0	AMPLIFY	9	teNEGATIVE0043
NEG_AMPLIFY_teNEGATIVE0044	0	AMPLIFY	47	teNEGATIVE0044
NEG_AMPLIFY_teNEGATIVE0045	0	AMPLIFY	15	teNEGATIVE0045
NEG_AMPLIFY_teNEGATIVE0046	0	AMPLIFY	33	teNEGATIVE0046
NEG_AMPLIFY_teNEGATIVE0047	0	AMPLIFY	50	teNEGATIVE0047
NEG_AMPLIFY_teNEGATIVE0048	0	AMPLIFY	30	teNEGATIVE0048
NEG_AMPLIFY_teNEGATIVE0049	0	AMPLIFY	14	teNEGATIVE0049
NEG_AMPLIFY_teNEGATIVE0050	0	AMPLIFY	50	teNEGATIVE0050
NEG_AMPLIFY_teNEGATIVE0051	0	AMPLIFY	28	teNEGATIVE0051
NEG_AMPLIFY_teNEGATIVE0052	0	AMPLIFY	32	teNEGATIVE0052
NEG_AMPLIFY_teNEGATIVE0053	0	AMPLIFY	38	teNEGATIVE0053
NEG_AMPLIFY_teNEGATIVE0054	0	AMPLIFY	49	teNEGATIVE0054
NEG_AMPLIFY_teNEGATIVE0055	0	AMPLIFY	37	teNEGATIVE0055
NEG_AMPLIFY_teNEGATIVE0056	0	AMPLIFY	65	teNEGATIVE0056
NEG_AMPLIFY_teNEGATIVE0058	0	AMPLIFY	27	teNEGATIVE0058
NEG_AMPLIFY_teNEGATIVE0059	0	AMPLIFY	11	teNEGATIVE0059
NEG_AMPLIFY_teNEGATIVE0060	0	AMPLIFY	53	teNEGATIVE0060
NEG_AMPLIFY_teNEGATIVE0062	0	AMPLIFY	22	teNEGATIVE0062
NEG_AMPLIFY_teNEGATIVE0063	0	AMPLIFY	31	teNEGATIVE0063
NEG_AMPLIFY_teNEGATIVE0064	0	AMPLIFY	15	teNEGATIVE0064
NEG_AMPLIFY_teNEGATIVE0065	0	AMPLIFY	13	teNEGATIVE0065
NEG_AMPLIFY_teNEGATIVE0066	0	AMPLIFY	20	teNEGATIVE0066
NEG_AMPLIFY_teNEGATIVE0067	0	AMPLIFY	25	teNEGATIVE0067
NEG_AMPLIFY_teNEGATIVE0068	0	AMPLIFY	33	teNEGATIVE0068
NEG_AMPLIFY_teNEGATIVE0069	0	AMPLIFY	28	teNEGATIVE0069
NEG_AMPLIFY_teNEGATIVE0070	0	AMPLIFY	42	teNEGATIVE0070
NEG_AMPLIFY_teNEGATIVE0071	0	AMPLIFY	29	teNEGATIVE0071
NEG_AMPLIFY_teNEGATIVE0072	0	AMPLIFY	38	teNEGATIVE0072
NEG_AMPLIFY_teNEGATIVE0073	0	AMPLIFY	27	teNEGATIVE0073
NEG_AMPLIFY_teNEGATIVE0074	0	AMPLIFY	60	teNEGATIVE0074
NEG_AMPLIFY_teNEGATIVE0075	0	AMPLIFY	28	teNEGATIVE0075
NEG_AMPLIFY_teNEGATIVE0076	0	AMPLIFY	30	teNEGATIVE0076
NEG_AMPLIFY_teNEGATIVE0077	0	AMPLIFY	14	teNEGATIVE0077
NEG_AMPLIFY_teNEGATIVE0078	0	AMPLIFY	19	teNEGATIVE0078
NEG_AMPLIFY_teNEGATIVE0079	0	AMPLIFY	15	teNEGATIVE0079
NEG_AMPLIFY_teNEGATIVE0080	0	AMPLIFY	14	teNEGATIVE0080
NEG_AMPLIFY_teNEGATIVE0081	0	AMPLIFY	28	teNEGATIVE0081
NEG_AMPLIFY_teNEGATIVE0082	0	AMPLIFY	29	teNEGATIVE0082
NEG_AMPLIFY_teNEGATIVE0083	0	AMPLIFY	13	teNEGATIVE0083
NEG_AMPLIFY_teNEGATIVE0084	0	AMPLIFY	13	teNEGATIVE0084
NEG_AMPLIFY_teNEGATIVE0085	0	AMPLIFY	21	teNEGATIVE0085
NEG_AMPLIFY_teNEGATIVE0086	0	AMPLIFY	29	teNEGATIVE0086
NEG_AMPLIFY_teNEGATIVE0087	0	AMPLIFY	23	teNEGATIVE0087
NEG_AMPLIFY_teNEGATIVE0088	0	AMPLIFY	26	teNEGATIVE0088
NEG_AMPLIFY_teNEGATIVE0090	0	AMPLIFY	20	teNEGATIVE0090
NEG_AMPLIFY_teNEGATIVE0091	0	AMPLIFY	23	teNEGATIVE0091
NEG_AMPLIFY_teNEGATIVE0092	0	AMPLIFY	24	teNEGATIVE0092
NEG_AMPLIFY_teNEGATIVE0093	0	AMPLIFY	14	teNEGATIVE0093
NEG_AMPLIFY_teNEGATIVE0094	0	AMPLIFY	40	teNEGATIVE0094
NEG_AMPLIFY_teNEGATIVE0095	0	AMPLIFY	95	teNEGATIVE0095
NEG_AMPLIFY_teNEGATIVE0096	0	AMPLIFY	66	teNEGATIVE0096
NEG_AMPLIFY_teNEGATIVE0097	0	AMPLIFY	11	teNEGATIVE0097
NEG_AMPLIFY_teNEGATIVE0098	0	AMPLIFY	31	teNEGATIVE0098
NEG_AMPLIFY_teNEGATIVE0099	0	AMPLIFY	34	teNEGATIVE0099
NEG_AMPLIFY_teNEGATIVE0100	0	AMPLIFY	19	teNEGATIVE0100
NEG_AMPLIFY_teNEGATIVE0101	0	AMPLIFY	12	teNEGATIVE0101
NEG_AMPLIFY_teNEGATIVE0102	0	AMPLIFY	24	teNEGATIVE0102
NEG_AMPLIFY_teNEGATIVE0103	0	AMPLIFY	33	teNEGATIVE0103
NEG_AMPLIFY_teNEGATIVE0104	0	AMPLIFY	76	teNEGATIVE0104
NEG_AMPLIFY_teNEGATIVE0105	0	AMPLIFY	11	teNEGATIVE0105
NEG_AMPLIFY_teNEGATIVE0106	0	AMPLIFY	20	teNEGATIVE0106
NEG_AMPLIFY_teNEGATIVE0107	0	AMPLIFY	32	teNEGATIVE0107
NEG_AMPLIFY_teNEGATIVE0108	0	AMPLIFY	10	teNEGATIVE0108
NEG_AMPLIFY_teNEGATIVE0109	0	AMPLIFY	37	teNEGATIVE0109
NEG_AMPLIFY_teNEGATIVE0111	0	AMPLIFY	20	teNEGATIVE0111
NEG_AMPLIFY_teNEGATIVE0112	0	AMPLIFY	15	teNEGATIVE0112
NEG_AMPLIFY_teNEGATIVE0113	0	AMPLIFY	23	teNEGATIVE0113
NEG_AMPLIFY_teNEGATIVE0114	0	AMPLIFY	17	teNEGATIVE0114
NEG_AMPLIFY_teNEGATIVE0115	0	AMPLIFY	28	teNEGATIVE0115
NEG_AMPLIFY_teNEGATIVE0116	0	AMPLIFY	50	teNEGATIVE0116
NEG_AMPLIFY_teNEGATIVE0117	0	AMPLIFY	23	teNEGATIVE0117
NEG_AMPLIFY_teNEGATIVE0118	0	AMPLIFY	32	teNEGATIVE0118
NEG_AMPLIFY_teNEGATIVE0119	0	AMPLIFY	30	teNEGATIVE0119
NEG_AMPLIFY_teNEGATIVE0120	0	AMPLIFY	31	teNEGATIVE0120
NEG_AMPLIFY_teNEGATIVE0121	0	AMPLIFY	46	teNEGATIVE0121
NEG_AMPLIFY_teNEGATIVE0122	0	AMPLIFY	33	teNEGATIVE0122
NEG_AMPLIFY_teNEGATIVE0123	0	AMPLIFY	44	teNEGATIVE0123
NEG_AMPLIFY_teNEGATIVE0124	0	AMPLIFY	16	teNEGATIVE0124
NEG_AMPLIFY_teNEGATIVE0125	0	AMPLIFY	51	teNEGATIVE0125
NEG_AMPLIFY_teNEGATIVE0126	0	AMPLIFY	21	teNEGATIVE0126
NEG_AMPLIFY_teNEGATIVE0127	0	AMPLIFY	70	teNEGATIVE0127
NEG_AMPLIFY_teNEGATIVE0128	0	AMPLIFY	15	teNEGATIVE0128
NEG_AMPLIFY_teNEGATIVE0129	0	AMPLIFY	37	teNEGATIVE0129
NEG_AMPLIFY_teNEGATIVE0130	0	AMPLIFY	10	teNEGATIVE0130
NEG_AMPLIFY_teNEGATIVE0131	0	AMPLIFY	49	teNEGATIVE0131
NEG_AMPLIFY_teNEGATIVE0132	0	AMPLIFY	24	teNEGATIVE0132
NEG_AMPLIFY_teNEGATIVE0133	0	AMPLIFY	12	teNEGATIVE0133
NEG_AMPLIFY_teNEGATIVE0134	0	AMPLIFY	17	teNEGATIVE0134
NEG_AMPLIFY_teNEGATIVE0135	0	AMPLIFY	17	teNEGATIVE0135
NEG_AMPLIFY_teNEGATIVE0136	0	AMPLIFY	30	teNEGATIVE0136
NEG_AMPLIFY_teNEGATIVE0137	0	AMPLIFY	27	teNEGATIVE0137
NEG_AMPLIFY_teNEGATIVE0138	0	AMPLIFY	36	teNEGATIVE0138
NEG_AMPLIFY_teNEGATIVE0139	0	AMPLIFY	22	teNEGATIVE0139
NEG_AMPLIFY_teNEGATIVE0140	0	AMPLIFY	33	teNEGATIVE0140
NEG_AMPLIFY_teNEGATIVE0141	0	AMPLIFY	7	teNEGATIVE0141
NEG_AMPLIFY_teNEGATIVE0142	0	AMPLIFY	28	teNEGATIVE0142
NEG_AMPLIFY_teNEGATIVE0143	0	AMPLIFY	34	teNEGATIVE0143
NEG_AMPLIFY_teNEGATIVE0144	0	AMPLIFY	43	teNEGATIVE0144
NEG_AMPLIFY_teNEGATIVE0145	0	AMPLIFY	88	teNEGATIVE0145
NEG_AMPLIFY_teNEGATIVE0146	0	AMPLIFY	12	teNEGATIVE0146
NEG_AMPLIFY_teNEGATIVE0147	0	AMPLIFY	12	teNEGATIVE0147
NEG_AMPLIFY_teNEGATIVE0148	0	AMPLIFY	32	teNEGATIVE0148
NEG_AMPLIFY_teNEGATIVE0149	0	AMPLIFY	28	teNEGATIVE0149
NEG_AMPLIFY_teNEGATIVE0150	0	AMPLIFY	22	teNEGATIVE0150
NEG_AMPLIFY_teNEGATIVE0151	0	AMPLIFY	16	teNEGATIVE0151
NEG_AMPLIFY_teNEGATIVE0152	0	AMPLIFY	43	teNEGATIVE0152
NEG_AMPLIFY_teNEGATIVE0153	0	AMPLIFY	31	teNEGATIVE0153
NEG_AMPLIFY_teNEGATIVE0154	0	AMPLIFY	5	teNEGATIVE0154
NEG_AMPLIFY_teNEGATIVE0155	0	AMPLIFY	16	teNEGATIVE0155
NEG_AMPLIFY_teNEGATIVE0156	0	AMPLIFY	20	teNEGATIVE0156
NEG_AMPLIFY_teNEGATIVE0157	0	AMPLIFY	13	teNEGATIVE0157
NEG_AMPLIFY_teNEGATIVE0158	0	AMPLIFY	20	teNEGATIVE0158
NEG_AMPLIFY_teNEGATIVE0159	0	AMPLIFY	32	teNEGATIVE0159
NEG_AMPLIFY_teNEGATIVE0160	0	AMPLIFY	28	teNEGATIVE0160
NEG_AMPLIFY_teNEGATIVE0161	0	AMPLIFY	25	teNEGATIVE0161
NEG_AMPLIFY_teNEGATIVE0162	0	AMPLIFY	16	teNEGATIVE0162
NEG_AMPLIFY_teNEGATIVE0163	0	AMPLIFY	26	teNEGATIVE0163
NEG_AMPLIFY_teNEGATIVE0164	0	AMPLIFY	13	teNEGATIVE0164
NEG_AMPLIFY_teNEGATIVE0165	0	AMPLIFY	32	teNEGATIVE0165
NEG_AMPLIFY_teNEGATIVE0166	0	AMPLIFY	36	teNEGATIVE0166
NEG_AMPLIFY_teNEGATIVE0167	0	AMPLIFY	18	teNEGATIVE0167
NEG_AMPLIFY_teNEGATIVE0168	0	AMPLIFY	28	teNEGATIVE0168
NEG_AMPLIFY_teNEGATIVE0169	0	AMPLIFY	38	teNEGATIVE0169
NEG_AMPLIFY_teNEGATIVE0170	0	AMPLIFY	26	teNEGATIVE0170
NEG_AMPLIFY_teNEGATIVE0171	0	AMPLIFY	28	teNEGATIVE0171
NEG_AMPLIFY_teNEGATIVE0172	0	AMPLIFY	38	teNEGATIVE0172
NEG_AMPLIFY_teNEGATIVE0174	0	AMPLIFY	36	teNEGATIVE0174
NEG_AMPLIFY_teNEGATIVE0175	0	AMPLIFY	28	teNEGATIVE0175
NEG_AMPLIFY_teNEGATIVE0176	0	AMPLIFY	24	teNEGATIVE0176
NEG_AMPLIFY_teNEGATIVE0177	0	AMPLIFY	34	teNEGATIVE0177
NEG_AMPLIFY_teNEGATIVE0178	0	AMPLIFY	32	teNEGATIVE0178
NEG_AMPLIFY_teNEGATIVE0179	0	AMPLIFY	16	teNEGATIVE0179
NEG_AMPLIFY_teNEGATIVE0180	0	AMPLIFY	31	teNEGATIVE0180
NEG_AMPLIFY_teNEGATIVE0181	0	AMPLIFY	84	teNEGATIVE0181
NEG_AMPLIFY_teNEGATIVE0183	0	AMPLIFY	42	teNEGATIVE0183
NEG_AMPLIFY_teNEGATIVE0184	0	AMPLIFY	20	teNEGATIVE0184
NEG_AMPLIFY_teNEGATIVE0185	0	AMPLIFY	31	teNEGATIVE0185
NEG_AMPLIFY_teNEGATIVE0186	0	AMPLIFY	34	teNEGATIVE0186
NEG_AMPLIFY_teNEGATIVE0187	0	AMPLIFY	32	teNEGATIVE0187
NEG_AMPLIFY_teNEGATIVE0188	0	AMPLIFY	28	teNEGATIVE0188
NEG_AMPLIFY_teNEGATIVE0189	0	AMPLIFY	12	teNEGATIVE0189
NEG_AMPLIFY_teNEGATIVE0190	0	AMPLIFY	9	teNEGATIVE0190
NEG_AMPLIFY_teNEGATIVE0191	0	AMPLIFY	75	teNEGATIVE0191
NEG_AMPLIFY_teNEGATIVE0192	0	AMPLIFY	17	teNEGATIVE0192
NEG_AMPLIFY_teNEGATIVE0193	0	AMPLIFY	20	teNEGATIVE0193
NEG_AMPLIFY_teNEGATIVE0194	0	AMPLIFY	40	teNEGATIVE0194
NEG_AMPLIFY_teNEGATIVE0195	0	AMPLIFY	16	teNEGATIVE0195
NEG_AMPLIFY_teNEGATIVE0196	0	AMPLIFY	14	teNEGATIVE0196
NEG_AMPLIFY_teNEGATIVE0197	0	AMPLIFY	12	teNEGATIVE0197
NEG_AMPLIFY_teNEGATIVE0199	0	AMPLIFY	33	teNEGATIVE0199
NEG_AMPLIFY_teNEGATIVE0200	0	AMPLIFY	31	teNEGATIVE0200
NEG_AMPLIFY_teNEGATIVE0201	0	AMPLIFY	16	teNEGATIVE0201
NEG_AMPLIFY_teNEGATIVE0202	0	AMPLIFY	18	teNEGATIVE0202
NEG_AMPLIFY_teNEGATIVE0203	0	AMPLIFY	34	teNEGATIVE0203
NEG_AMPLIFY_teNEGATIVE0204	0	AMPLIFY	9	teNEGATIVE0204
NEG_AMPLIFY_teNEGATIVE0205	0	AMPLIFY	15	teNEGATIVE0205
NEG_AMPLIFY_teNEGATIVE0206	0	AMPLIFY	40	teNEGATIVE0206
NEG_AMPLIFY_teNEGATIVE0207	0	AMPLIFY	31	teNEGATIVE0207
NEG_AMPLIFY_teNEGATIVE0208	0	AMPLIFY	19	teNEGATIVE0208
NEG_AMPLIFY_teNEGATIVE0209	0	AMPLIFY	73	teNEGATIVE0209
NEG_AMPLIFY_teNEGATIVE0210	0	AMPLIFY	26	teNEGATIVE0210
NEG_AMPLIFY_teNEGATIVE0211	0	AMPLIFY	61	teNEGATIVE0211
NEG_AMPLIFY_teNEGATIVE0212	0	AMPLIFY	34	teNEGATIVE0212
NEG_AMPLIFY_teNEGATIVE0213	0	AMPLIFY	37	teNEGATIVE0213
NEG_AMPLIFY_teNEGATIVE0214	0	AMPLIFY	30	teNEGATIVE0214
NEG_AMPLIFY_teNEGATIVE0215	0	AMPLIFY	40	teNEGATIVE0215
NEG_AMPLIFY_teNEGATIVE0216	0	AMPLIFY	81	teNEGATIVE0216
NEG_AMPLIFY_teNEGATIVE0217	0	AMPLIFY	31	teNEGATIVE0217
NEG_AMPLIFY_teNEGATIVE0218	0	AMPLIFY	29	teNEGATIVE0218
NEG_AMPLIFY_teNEGATIVE0219	0	AMPLIFY	14	teNEGATIVE0219
NEG_AMPLIFY_teNEGATIVE0220	0	AMPLIFY	21	teNEGATIVE0220
NEG_AMPLIFY_teNEGATIVE0221	0	AMPLIFY	43	teNEGATIVE0221
NEG_AMPLIFY_teNEGATIVE0222	0	AMPLIFY	11	teNEGATIVE0222
NEG_AMPLIFY_teNEGATIVE0223	0	AMPLIFY	37	teNEGATIVE0223
NEG_AMPLIFY_teNEGATIVE0224	0	AMPLIFY	95	teNEGATIVE0224
NEG_AMPLIFY_teNEGATIVE0225	0	AMPLIFY	37	teNEGATIVE0225
NEG_AMPLIFY_teNEGATIVE0226	0	AMPLIFY	26	teNEGATIVE0226
NEG_AMPLIFY_teNEGATIVE0227	0	AMPLIFY	24	teNEGATIVE0227
NEG_AMPLIFY_teNEGATIVE0228	0	AMPLIFY	32	teNEGATIVE0228
NEG_AMPLIFY_teNEGATIVE0229	0	AMPLIFY	31	teNEGATIVE0229
NEG_AMPLIFY_teNEGATIVE0230	0	AMPLIFY	26	teNEGATIVE0230
NEG_AMPLIFY_teNEGATIVE0231	0	AMPLIFY	28	teNEGATIVE0231
NEG_AMPLIFY_teNEGATIVE0232	0	AMPLIFY	13	teNEGATIVE0232
NEG_AMPLIFY_teNEGATIVE0233	0	AMPLIFY	70	teNEGATIVE0233
NEG_AMPLIFY_teNEGATIVE0234	0	AMPLIFY	25	teNEGATIVE0234
NEG_AMPLIFY_teNEGATIVE0235	0	AMPLIFY	15	teNEGATIVE0235
NEG_AMPLIFY_teNEGATIVE0236	0	AMPLIFY	33	teNEGATIVE0236
NEG_AMPLIFY_teNEGATIVE0237	0	AMPLIFY	26	teNEGATIVE0237
NEG_AMPLIFY_teNEGATIVE0238	0	AMPLIFY	24	teNEGATIVE0238
NEG_AMPLIFY_teNEGATIVE0239	0	AMPLIFY	23	teNEGATIVE0239
NEG_AMPLIFY_teNEGATIVE0240	0	AMPLIFY	48	teNEGATIVE0240
NEG_AMPLIFY_teNEGATIVE0241	0	AMPLIFY	20	teNEGATIVE0241
NEG_AMPLIFY_teNEGATIVE0242	0	AMPLIFY	81	teNEGATIVE0242
NEG_AMPLIFY_teNEGATIVE0243	0	AMPLIFY	15	teNEGATIVE0243
NEG_AMPLIFY_teNEGATIVE0244	0	AMPLIFY	8	teNEGATIVE0244
NEG_AMPLIFY_teNEGATIVE0245	0	AMPLIFY	17	teNEGATIVE0245
NEG_AMPLIFY_teNEGATIVE0246	0	AMPLIFY	37	teNEGATIVE0246
NEG_AMPLIFY_teNEGATIVE0247	0	AMPLIFY	24	teNEGATIVE0247
NEG_AMPLIFY_teNEGATIVE0248	0	AMPLIFY	11	teNEGATIVE0248
NEG_AMPLIFY_teNEGATIVE0249	0	AMPLIFY	32	teNEGATIVE0249
NEG_AMPLIFY_teNEGATIVE0250	0	AMPLIFY	41	teNEGATIVE0250
NEG_AMPLIFY_teNEGATIVE0251	0	AMPLIFY	30	teNEGATIVE0251
NEG_AMPLIFY_teNEGATIVE0252	0	AMPLIFY	28	teNEGATIVE0252
NEG_AMPLIFY_teNEGATIVE0253	0	AMPLIFY	27	teNEGATIVE0253
NEG_AMPLIFY_teNEGATIVE0254	0	AMPLIFY	16	teNEGATIVE0254
NEG_AMPLIFY_teNEGATIVE0255	0	AMPLIFY	51	teNEGATIVE0255
NEG_AMPLIFY_teNEGATIVE0256	0	AMPLIFY	30	teNEGATIVE0256
NEG_AMPLIFY_teNEGATIVE0257	0	AMPLIFY	31	teNEGATIVE0257
NEG_AMPLIFY_teNEGATIVE0258	0	AMPLIFY	30	teNEGATIVE0258
NEG_AMPLIFY_teNEGATIVE0259	0	AMPLIFY	35	teNEGATIVE0259
NEG_AMPLIFY_teNEGATIVE0260	0	AMPLIFY	31	teNEGATIVE0260
NEG_AMPLIFY_teNEGATIVE0261	0	AMPLIFY	30	teNEGATIVE0261
NEG_AMPLIFY_teNEGATIVE0262	0	AMPLIFY	27	teNEGATIVE0262
NEG_AMPLIFY_teNEGATIVE0263	0	AMPLIFY	29	teNEGATIVE0263
NEG_AMPLIFY_teNEGATIVE0264	0	AMPLIFY	20	teNEGATIVE0264
NEG_AMPLIFY_teNEGATIVE0265	0	AMPLIFY	15	teNEGATIVE0265
NEG_AMPLIFY_teNEGATIVE0266	0	AMPLIFY	35	teNEGATIVE0266
NEG_AMPLIFY_teNEGATIVE0267	0	AMPLIFY	27	teNEGATIVE0267
NEG_AMPLIFY_teNEGATIVE0268	0	AMPLIFY	7	teNEGATIVE0268
NEG_AMPLIFY_teNEGATIVE0269	0	AMPLIFY	15	teNEGATIVE0269
NEG_AMPLIFY_teNEGATIVE0270	0	AMPLIFY	20	teNEGATIVE0270
NEG_AMPLIFY_teNEGATIVE0271	0	AMPLIFY	13	teNEGATIVE0271
NEG_AMPLIFY_teNEGATIVE0272	0	AMPLIFY	11	teNEGATIVE0272
NEG_AMPLIFY_teNEGATIVE0273	0	AMPLIFY	55	teNEGATIVE0273
NEG_AMPLIFY_teNEGATIVE0274	0	AMPLIFY	65	teNEGATIVE0274
NEG_AMPLIFY_teNEGATIVE0275	0	AMPLIFY	20	teNEGATIVE0275
NEG_AMPLIFY_teNEGATIVE0276	0	AMPLIFY	16	teNEGATIVE0276
NEG_AMPLIFY_teNEGATIVE0277	0	AMPLIFY	15	teNEGATIVE0277
NEG_AMPLIFY_teNEGATIVE0278	0	AMPLIFY	32	teNEGATIVE0278
NEG_AMPLIFY_teNEGATIVE0279	0	AMPLIFY	59	teNEGATIVE0279
NEG_AMPLIFY_teNEGATIVE0280	0	AMPLIFY	15	teNEGATIVE0280
NEG_AMPLIFY_teNEGATIVE0281	0	AMPLIFY	24	teNEGATIVE0281
NEG_AMPLIFY_teNEGATIVE0282	0	AMPLIFY	21	teNEGATIVE0282
NEG_AMPLIFY_teNEGATIVE0283	0	AMPLIFY	29	teNEGATIVE0283
NEG_AMPLIFY_teNEGATIVE0284	0	AMPLIFY	19	teNEGATIVE0284
NEG_AMPLIFY_teNEGATIVE0285	0	AMPLIFY	17	teNEGATIVE0285
NEG_AMPLIFY_teNEGATIVE0286	0	AMPLIFY	18	teNEGATIVE0286
NEG_AMPLIFY_teNEGATIVE0287	0	AMPLIFY	37	teNEGATIVE0287
NEG_AMPLIFY_teNEGATIVE0288	0	AMPLIFY	28	teNEGATIVE0288
NEG_AMPLIFY_teNEGATIVE0289	0	AMPLIFY	31	teNEGATIVE0289
NEG_AMPLIFY_teNEGATIVE0290	0	AMPLIFY	15	teNEGATIVE0290
NEG_AMPLIFY_teNEGATIVE0291	0	AMPLIFY	43	teNEGATIVE0291
NEG_AMPLIFY_teNEGATIVE0292	0	AMPLIFY	28	teNEGATIVE0292
NEG_AMPLIFY_teNEGATIVE0293	0	AMPLIFY	55	teNEGATIVE0293
NEG_AMPLIFY_teNEGATIVE0294	0	AMPLIFY	31	teNEGATIVE0294
NEG_AMPLIFY_teNEGATIVE0295	0	AMPLIFY	23	teNEGATIVE0295
NEG_AMPLIFY_teNEGATIVE0296	0	AMPLIFY	32	teNEGATIVE0296
NEG_AMPLIFY_teNEGATIVE0297	0	AMPLIFY	30	teNEGATIVE0297
NEG_AMPLIFY_teNEGATIVE0298	0	AMPLIFY	15	teNEGATIVE0298
NEG_AMPLIFY_teNEGATIVE0299	0	AMPLIFY	18	teNEGATIVE0299
NEG_AMPLIFY_teNEGATIVE0300	0	AMPLIFY	29	teNEGATIVE0300
NEG_AMPLIFY_teNEGATIVE0301	0	AMPLIFY	37	teNEGATIVE0301
NEG_AMPLIFY_teNEGATIVE0302	0	AMPLIFY	15	teNEGATIVE0302
NEG_AMPLIFY_teNEGATIVE0303	0	AMPLIFY	36	teNEGATIVE0303
NEG_AMPLIFY_teNEGATIVE0304	0	AMPLIFY	100	teNEGATIVE0304
NEG_AMPLIFY_teNEGATIVE0305	0	AMPLIFY	33	teNEGATIVE0305
NEG_AMPLIFY_teNEGATIVE0306	0	AMPLIFY	25	teNEGATIVE0306
NEG_AMPLIFY_teNEGATIVE0307	0	AMPLIFY	28	teNEGATIVE0307
NEG_AMPLIFY_teNEGATIVE0308	0	AMPLIFY	11	teNEGATIVE0308
NEG_AMPLIFY_teNEGATIVE0309	0	AMPLIFY	20	teNEGATIVE0309
NEG_AMPLIFY_teNEGATIVE0310	0	AMPLIFY	5	teNEGATIVE0310
NEG_AMPLIFY_teNEGATIVE0311	0	AMPLIFY	23	teNEGATIVE0311
